region,n,mean,sd,median,median_ci95_lo,median_ci95_hi,iqr
utr5,2542,0.006760471301881611,0.011463940277858244,0.00268843770027155,0.0024271607398986,0.0029142946004867,0.007439156994223601
utr3,4148,0.00376350902696294,0.006745465978552431,0.00111722201108925,0.0009904652833938499,0.0012522459030150804,0.004954874515533421
promoter,7399,0.001772523053712398,0.0044483347318359035,0.0004270672798156,0.0004001855850219,0.0004539191722869,0.0014600977301597283
terminator,13573,0.002468440917734338,0.004816582549065867,0.0005836486816406,0.0005527883768081,0.000626266002655,0.0028890967369079373
