region_a,region_b,n_a,n_b,median_a,median_b,U,p_two_sided,rank_biserial,q_bh
utr5,utr3,2474,3997,0.0008506687978903,0.0011812448501586,4019000.5,8.655589292164484e-37,-0.18714288343581853,8.655589292164484e-37
utr5,promoter,2474,7089,0.0008506687978903,0.0005392730236053,10822061.0,1.534109274060517e-67,0.23411406402007606,1.8409311288726205e-67
utr5,terminator,2474,12958,0.0008506687978903,0.002024279286464,9584018.5,3.859420061745875e-221,-0.40208428499113424,7.71884012349175e-221
utr3,promoter,3997,7089,0.0011812448501586,0.0005392730236053,20046083.5,4.797863881296489e-289,0.41494776040416537,1.4393591643889467e-288
utr3,terminator,3997,12958,0.0011812448501586,0.002024279286464,19545524.0,6.744048810321607e-122,-0.24524640586474733,1.0116073215482411e-121
promoter,terminator,7089,12958,0.0005392730236053,0.002024279286464,19594058.0,0.0,-0.5733896055032535,0.0
