region,n,mean,sd,median,median_ci95_lo,median_ci95_hi,iqr
utr5,2474,0.0012685315672441237,0.0012982312062338969,0.0008506687978903,0.00080735965942339,0.0008878794964402736,0.0013225618749856999
utr3,3997,0.0020900194821085794,0.003025418840017276,0.0011812448501586,0.001126229763031,0.0012406948953866,0.0018209392825762002
promoter,7089,0.0007843049374905704,0.0008234334712361952,0.0005392730236053,0.0005247369408607,0.0005556643009185,0.0006938998897869999
terminator,12958,0.004107696731261088,0.006249540716871154,0.002024279286464,0.001962024718523,0.0020751307408014,0.00386549718678
