region_a,region_b,hypothesis,U,p,median_a,median_b
utr5,utr3,utr5 > utr3,4019000.5,1.0,0.0008506687978903,0.0011812448501586
utr5,promoter,utr5 > promoter,10822061.0,7.670546370302586e-68,0.0008506687978903,0.0005392730236053
utr5,terminator,utr5 > terminator,9584018.5,1.0,0.0008506687978903,0.002024279286464
utr3,promoter,utr3 > promoter,20046083.5,2.398931940648246e-289,0.0011812448501586,0.0005392730236053
utr3,terminator,utr3 > terminator,19545524.0,1.0,0.0011812448501586,0.002024279286464
promoter,terminator,promoter > terminator,19594058.0,1.0,0.0005392730236053,0.002024279286464
