region_a,region_b,n_a,n_b,median_a,median_b,U,p_two_sided,rank_biserial,q_bh
utr5,utr3,2542,4148,0.00268843770027155,0.00111722201108925,6535532.5,2.3008166848870003e-61,0.23964313705257934,4.601633369774001e-61
utr5,promoter,2542,7399,0.00268843770027155,0.0004270672798156,13240115.5,2.253623014912274e-207,0.4079044959931961,1.3521738089473644e-206
utr5,terminator,2542,13573,0.00268843770027155,0.0005836486816406,23204725.5,2.4214640165116178e-169,0.34510143390494497,7.264392049534854e-169
utr3,promoter,4148,7399,0.00111722201108925,0.0004270672798156,16786397.0,4.935142113101388e-17,0.09389518482455417,7.402713169652081e-17
utr3,terminator,4148,13573,0.00111722201108925,0.0005836486816406,30385244.5,6.886325959632411e-15,0.07938936360482529,8.263591151558893e-15
promoter,terminator,7399,13573,0.0004270672798156,0.0005836486816406,49668482.0,0.19289664364335468,-0.010850339522007424,0.19289664364335468
