tissue_index,n_genes,tissue_median,agree_with_avg_label,spearman_vs_gene_mean
0,32534,5.343466767000157,0.94611790741993,0.9465991156103888
1,32534,5.338036608371285,0.9132907112559169,0.911828743408374
2,32534,6.461125357642267,0.898045122026188,0.9053934037303908
3,32534,5.870930362547351,0.951466158480359,0.9481974811467375
4,32534,5.831570730240718,0.9526034302575767,0.947668560020885
5,32534,5.78152056689587,0.9487612958750845,0.9444935086177472
6,32534,5.248539231174008,0.9359131985000307,0.9357376237110978
7,32534,5.460588971378803,0.9370504702772484,0.9367637741684393
8,32534,5.584927732125987,0.9515276326304789,0.9468869759864582
9,32534,5.5553876550491825,0.951435421405299,0.9471614965064229
10,32534,5.62096457066675,0.9542939693858732,0.9477745941255017
11,32534,5.610729692499408,0.9542939693858732,0.9474614611506956
12,32534,5.443576941069553,0.9523575336570972,0.945744274195887
13,32534,5.498731698012299,0.950451835003381,0.9456119909454199
14,32534,6.002759741676586,0.9522653224319174,0.9514800834418484
15,32534,5.64839750574334,0.9537099649597345,0.949485448355193
16,32534,5.537086288651507,0.9516505809307186,0.9441861911162126
17,32534,5.7060084579625725,0.951957951681318,0.9464518477968434
18,32534,5.3951457803934755,0.9204524497448823,0.9195030729631205
19,32534,5.751850893618891,0.9200528677691031,0.9332833404123881
20,32534,5.456168962163911,0.9281981926599865,0.9380600032801977
21,32534,5.908018052343587,0.9414151349357596,0.943731680635006
22,32534,5.8384116623760445,0.9422757730374377,0.9413210957823747
23,32534,4.652454895289386,0.8976455400504088,0.8810534226307987
24,32534,5.735974451842311,0.9063441322923711,0.9072166990512749
25,32534,4.697778840308286,0.8863342964283519,0.8641123062252518
26,32534,4.902818339203617,0.9020409417839799,0.8859499195553661
27,32534,3.425132498668473,0.8713038667240426,0.8367729270917988
28,32534,5.833934310826938,0.8975840659002889,0.8794961819197716
29,32534,5.876385285314762,0.8747464191307556,0.8377588759963666
30,32534,5.76796575716654,0.8909448576873424,0.8610518161036074
31,32534,5.65132640648846,0.9002889285055634,0.8746367884012272
32,32534,5.815842120527738,0.8935267719923772,0.8630944806682669
33,32534,6.794597869480516,0.9273375545583082,0.9379050646960878
34,32534,6.817928953950254,0.9248171144033934,0.9410793673845902
35,32534,6.8116518413780085,0.9116001721276203,0.927418226176977
36,32534,6.800995204266247,0.9166717895125099,0.9303029823671652
37,32534,6.553409242600885,0.9299502059384029,0.9432523014614541
38,32534,6.709384138961169,0.923987213376775,0.9387170467274957
39,32534,6.153850100841588,0.9292739902870842,0.932743875510094
40,32534,5.807191752155309,0.9054220200405729,0.9147578851171898
41,32534,5.028841720671499,0.7866539620089752,0.6565492435462058
42,32534,5.689069488542545,0.9033626360115571,0.9092488012757037
43,32534,6.018463883209481,0.8802483555664843,0.8744152650334622
44,32534,6.579252712333153,0.940677445134321,0.9515331518835489
45,32534,3.946640740209924,0.8810782565931026,0.8529338594518758
46,32534,5.361351785430372,0.9518350033810783,0.9413843204812937
47,32534,6.208593998215089,0.9360054097252105,0.9435156054075016
48,32534,6.05533395837779,0.8795721399151657,0.8749494762350696
49,32534,6.315177315018556,0.8902993791110838,0.8917108043446645
50,32534,5.6081539093605715,0.9535562795844348,0.9497731128800144
51,32534,6.236485236730845,0.9248785885535132,0.9344593227743448
52,32534,6.258289909921327,0.9262310198561505,0.9349379220805091
53,32534,6.363376635520024,0.9245712178029138,0.9366730617635189
54,32534,6.271521631561629,0.9157496772607119,0.9290274960833567
55,32534,6.3639664141582575,0.9075428782197086,0.9181099293124231
