ckpt,seq_len_bp,crop_mode,accuracy,auroc,auprc,model
cnn_pgb_binary.pt,6000,center,0.7536743092298648,0.8423312743427458,0.8345209919114789,cnn
cnn_pgb_3000bp_center_binary.pt,3000,center,0.5214579659024103,0.5416758874037355,0.5466331542680407,cnn
cnn_pgb_1500bp_center_binary.pt,1500,center,0.5382128159905938,0.5454146081371161,0.5415404254326719,cnn
results/models/agront_pgb_binary.pt,6000,center,0.8683127572016461,0.9391213513543419,0.9346074599131322,agront
results/models/agront_pgb_3000bp_center_binary.pt,3000,center,0.5928865373309817,0.6247363445494378,0.6107416487500577,agront
results/models/agront_pgb_1500bp_center_binary.pt,1500,center,0.5532039976484421,0.5795440714348943,0.5783014579898635,agront
