region_a,region_b,hypothesis,U,p,median_a,median_b
utr5,utr3,utr5 > utr3,6535532.5,1.1504083424435002e-61,0.00268843770027155,0.00111722201108925
utr5,promoter,utr5 > promoter,13240115.5,1.126811507456137e-207,0.00268843770027155,0.0004270672798156
utr5,terminator,utr5 > terminator,23204725.5,1.2107320082558089e-169,0.00268843770027155,0.0005836486816406
utr3,promoter,utr3 > promoter,16786397.0,2.467571056550694e-17,0.00111722201108925,0.0004270672798156
utr3,terminator,utr3 > terminator,30385244.5,3.4431629798162056e-15,0.00111722201108925,0.0005836486816406
promoter,terminator,promoter > terminator,49668482.0,0.903552086625876,0.0004270672798156,0.0005836486816406
